g  1  0    410993.4
g  1  1    -71305.9
h  1  1     20958.4
g  2  0     11796.7
g  2  1    -56972.4
g  2  2     48250.2
h  2  1    -42549.0
h  2  2     20221.5
g  3  0      2799.3
g  3  1    -37488.4
g  3  2     15396.8
g  3  3     -1489.8
h  3  1    -32890.6
h  3  2     42518.4
h  3  3    -27397.7
g  4  0    -34402.0
g  4  1     -8080.8
g  4  2     -2440.5
g  4  3    -10848.3
g  4  4    -17919.1
h  4  1     32452.4
h  4  2     27438.6
h  4  3      -501.4
h  4  4     -1325.1
g  5  0    -18265.7
g  5  1      4221.8
g  5  2     16599.5
g  5  3    -17345.8
g  5  4     -2544.5
g  5  5     -4987.7
h  5  1     45363.1
h  5  2      -826.2
h  5  3      6000.6
h  5  4     10568.8
h  5  5     10091.5
g  6  0    -20968.0
g  6  1      9887.6
g  6  2     12192.4
g  6  3    -12548.7
g  6  4      2742.2
g  6  5      1557.6
g  6  6      8018.2
h  6  1     14016.9
h  6  2    -10119.1
h  6  3      -294.9
h  6  4     13948.3
h  6  5     -3686.9
h  6  6      4783.1
g  7  0        59.9
g  7  1      5366.1
g  7  2     -7099.5
g  7  3     -1533.4
g  7  4     -7055.7
g  7  5      3060.6
g  7  6     -2488.3
g  7  7      3700.8
h  7  1     -7654.8
h  7  2    -11398.6
h  7  3      2171.0
h  7  4      5301.6
h  7  5     -6618.1
h  7  6     -1933.8
h  7  7     -5802.9
g  8  0     10849.5
g  8  1      1323.8
g  8  2     -6952.2
g  8  3       -95.0
g  8  4     -4746.6
g  8  5     -1301.7
g  8  6     -4284.6
g  8  7     -1436.7
g  8  8     -3024.6
h  8  1     -2297.4
h  8  2    -12833.5
h  8  3     10019.6
h  8  4     -1725.6
h  8  5      2387.1
h  8  6     -3237.1
h  8  7       906.1
h  8  8     -3178.3
g  9  0      8914.4
g  9  1     -3506.7
g  9  2       288.1
g  9  3       773.6
g  9  4      3592.7
g  9  5     -3170.8
g  9  6      1406.3
g  9  7     -1526.6
g  9  8      1313.3
g  9  9     -2314.6
h  9  1     -7899.6
h  9  2     -1328.3
h  9  3      6566.5
h  9  4     -1275.3
h  9  5      3617.1
h  9  6      -194.8
h  9  7      1960.3
h  9  8       956.9
h  9  9      1831.7
g 10  0     -2516.5
g 10  1      1883.2
g 10  2      2836.1
g 10  3      4259.4
g 10  4      3776.7
g 10  5       764.4
g 10  6      2112.3
g 10  7       724.8
g 10  8      2496.3
g 10  9       840.1
g 10 10      1179.4
h 10  1     -5689.8
h 10  2      5570.3
h 10  3     -2541.6
h 10  4     -1795.2
h 10  5      -217.8
h 10  6      -628.3
h 10  7     -1619.6
h 10  8       454.6
h 10  9      -840.0
h 10 10      1581.4
g 11  0      1311.6
g 11  1      3056.9
g 11  2     -2060.6
g 11  3      3550.1
g 11  4       589.7
g 11  5       194.8
g 11  6     -1073.3
g 11  7      -521.7
g 11  8       685.3
g 11  9       350.2
g 11 10      -326.6
g 11 11      1088.8
h 11  1       549.1
h 11  2      4527.6
h 11  3     -4223.0
h 11  4     -2761.9
h 11  5      -476.0
h 11  6     -2714.4
h 11  7     -1349.2
h 11  8     -1649.0
h 11  9     -1471.5
h 11 10      -583.0
h 11 11      -499.8
g 12  0      2300.5
g 12  1      1688.4
g 12  2      -291.7
g 12  3       483.2
g 12  4      -581.9
g 12  5      -818.4
g 12  6     -1095.6
g 12  7     -1987.8
g 12  8       484.5
g 12  9     -1473.1
g 12 10      -666.5
g 12 11      -755.4
g 12 12      -220.8
h 12  1      4204.2
h 12  2      2228.0
h 12  3     -1901.1
h 12  4     -1271.2
h 12  5      1073.4
h 12  6     -1111.9
h 12  7       872.9
h 12  8      -837.9
h 12  9      -462.8
h 12 10       -22.0
h 12 11       110.3
h 12 12      -712.7
g 13  0       751.5
g 13  1      -456.4
g 13  2      1160.4
g 13  3     -2307.8
g 13  4       -77.1
g 13  5       -16.9
g 13  6       594.8
g 13  7      -950.7
g 13  8      1042.3
g 13  9      -641.8
g 13 10        41.6
g 13 11      -229.1
g 13 12       -40.3
g 13 13      -287.8
h 13  1      4125.6
h 13  2       -44.0
h 13  3      -455.4
h 13  4      2160.6
h 13  5       255.4
h 13  6      1105.1
h 13  7      1214.2
h 13  8       196.1
h 13  9      -207.7
h 13 10      1195.7
h 13 11       472.4
h 13 12       721.6
h 13 13        51.3
g 14  0      1164.6
g 14  1     -2478.0
g 14  2       907.7
g 14  3     -1280.7
g 14  4       148.5
g 14  5      1468.8
g 14  6        -8.1
g 14  7       604.5
g 14  8       787.2
g 14  9       327.7
g 14 10       111.6
g 14 11       245.2
g 14 12       127.3
g 14 13       425.9
g 14 14         6.3
h 14  1      -847.8
h 14  2      -124.9
h 14  3       108.8
h 14  4      1456.2
h 14  5     -1284.6
h 14  6       896.5
h 14  7       237.0
h 14  8       225.8
h 14  9       -80.9
h 14 10       696.9
h 14 11       326.5
h 14 12       225.9
h 14 13        71.0
h 14 14       124.4
g 15  0       469.4
g 15  1     -1929.2
g 15  2       -38.7
g 15  3      -815.9
g 15  4      -775.7
g 15  5        31.0
g 15  6      -149.9
g 15  7       318.2
g 15  8      -298.3
g 15  9      -149.3
g 15 10       241.4
g 15 11       -69.4
g 15 12       367.0
g 15 13       -22.2
g 15 14        91.8
g 15 15       -43.7
h 15  1     -1146.4
h 15  2      -580.4
h 15  3       527.3
h 15  4       120.0
h 15  5      -478.9
h 15  6       148.4
h 15  7        45.7
h 15  8      -882.5
h 15  9      -206.6
h 15 10       -74.9
h 15 11        51.0
h 15 12        36.4
h 15 13       -44.4
h 15 14      -285.9
h 15 15       135.1
g 16  0      -809.2
g 16  1      -888.9
g 16  2      -604.0
g 16  3      -339.1
g 16  4      -350.6
g 16  5      -503.8
g 16  6      -235.5
g 16  7         9.0
g 16  8      -498.7
g 16  9      -283.2
g 16 10       -50.9
g 16 11      -515.2
g 16 12      -255.3
g 16 13        15.6
g 16 14       -24.7
g 16 15      -176.5
g 16 16        49.2
h 16  1      -932.8
h 16  2      -608.1
h 16  3       510.2
h 16  4      -587.4
h 16  5       -39.4
h 16  6       358.1
h 16  7       279.8
h 16  8       244.5
h 16  9       487.3
h 16 10       366.7
h 16 11        93.9
h 16 12       282.8
h 16 13      -267.7
h 16 14        39.8
h 16 15      -213.1
h 16 16        32.4
g 17  0     -1238.7
g 17  1      -190.2
g 17  2      -101.5
g 17  3       -58.0
g 17  4        10.0
g 17  5      -525.9
g 17  6       468.4
g 17  7        88.1
g 17  8      -385.1
g 17  9        77.6
g 17 10        75.7
g 17 11      -148.9
g 17 12       201.8
g 17 13        61.7
g 17 14      -243.6
g 17 15       168.2
g 17 16       -42.2
g 17 17         7.3
h 17  1      -209.2
h 17  2       -15.8
h 17  3        54.4
h 17  4       308.7
h 17  5       722.0
h 17  6       233.3
h 17  7       -82.1
h 17  8       221.5
h 17  9       488.6
h 17 10       206.3
h 17 11       176.7
h 17 12       353.4
h 17 13       204.8
h 17 14       -29.5
h 17 15        12.8
h 17 16       -89.6
h 17 17      -166.6
g 18  0      -796.0
g 18  1       443.6
g 18  2       266.9
g 18  3       391.2
g 18  4       366.2
g 18  5       175.8
g 18  6       512.5
g 18  7       151.0
g 18  8       214.9
g 18  9       243.4
g 18 10       337.5
g 18 11       -10.2
g 18 12       -34.9
g 18 13       161.2
g 18 14       222.3
g 18 15      -119.6
g 18 16        28.0
g 18 17       132.6
g 18 18      -180.6
h 18  1       670.9
h 18  2      -176.1
h 18  3      -340.3
h 18  4        37.0
h 18  5       304.3
h 18  6      -348.8
h 18  7      -291.9
h 18  8       165.6
h 18  9       360.9
h 18 10      -119.0
h 18 11       100.1
h 18 12        26.9
h 18 13         1.0
h 18 14       -60.2
h 18 15        66.5
h 18 16       277.8
h 18 17        29.1
h 18 18        15.3
g 19  0      -493.7
g 19  1       486.7
g 19  2       -62.0
g 19  3       539.2
g 19  4       187.4
g 19  5       136.8
g 19  6        -9.4
g 19  7      -581.2
g 19  8       291.8
g 19  9      -198.1
g 19 10        95.5
g 19 11      -372.6
g 19 12       190.7
g 19 13      -119.6
g 19 14       -11.9
g 19 15        74.4
g 19 16      -391.4
g 19 17       -33.1
g 19 18      -118.0
g 19 19       -57.2
h 19  1        85.8
h 19  2      -412.1
h 19  3      -502.0
h 19  4      -425.1
h 19  5      -232.2
h 19  6      -477.0
h 19  7      -463.5
h 19  8        73.6
h 19  9      -228.3
h 19 10       -96.8
h 19 11      -256.0
h 19 12      -228.0
h 19 13       119.3
h 19 14       -76.9
h 19 15      -319.8
h 19 16      -284.0
h 19 17       197.9
h 19 18      -239.6
h 19 19       302.6
g 20  0      -319.9
g 20  1       113.6
g 20  2      -262.2
g 20  3        94.2
g 20  4      -306.7
g 20  5      -139.2
g 20  6      -291.5
g 20  7      -716.6
g 20  8        55.5
g 20  9      -219.0
g 20 10      -165.1
g 20 11      -206.6
g 20 12      -115.7
g 20 13      -117.5
g 20 14       -56.9
g 20 15        -6.9
g 20 16        31.4
g 20 17      -146.9
g 20 18       453.7
g 20 19      -256.5
g 20 20       424.2
h 20  1      -297.6
h 20  2       -13.7
h 20  3      -118.4
h 20  4       105.6
h 20  5       101.9
h 20  6        45.3
h 20  7      -213.0
h 20  8       372.5
h 20  9      -382.8
h 20 10       154.2
h 20 11      -290.3
h 20 12        17.1
h 20 13         6.7
h 20 14        13.2
h 20 15       -49.3
h 20 16       -32.2
h 20 17      -152.8
h 20 18        62.2
h 20 19         8.5
h 20 20        35.0
g 21  0       -71.5
g 21  1      -157.0
g 21  2      -127.9
g 21  3       -73.9
g 21  4       -98.0
g 21  5       222.1
g 21  6      -299.3
g 21  7      -124.8
g 21  8       155.6
g 21  9        61.0
g 21 10      -137.5
g 21 11       -52.1
g 21 12      -177.1
g 21 13       -51.6
g 21 14        44.3
g 21 15        35.7
g 21 16      -365.8
g 21 17        91.4
g 21 18      -200.6
g 21 19        28.0
g 21 20      -113.8
g 21 21        16.7
h 21  1      -155.8
h 21  2       312.3
h 21  3       291.1
h 21  4       207.9
h 21  5       165.8
h 21  6       291.2
h 21  7       198.8
h 21  8       442.1
h 21  9      -104.0
h 21 10       209.6
h 21 11       -45.0
h 21 12      -139.6
h 21 13       229.4
h 21 14       -59.8
h 21 15       -30.0
h 21 16      -182.0
h 21 17       162.1
h 21 18       131.7
h 21 19      -356.9
h 21 20       379.5
h 21 21      -318.6
g 22  0       -48.6
g 22  1      -197.9
g 22  2       -16.4
g 22  3        84.0
g 22  4       155.6
g 22  5       194.9
g 22  6       -91.6
g 22  7        55.5
g 22  8       183.6
g 22  9        43.1
g 22 10       -16.4
g 22 11      -149.6
g 22 12        33.1
g 22 13       -39.4
g 22 14       123.4
g 22 15       -62.2
g 22 16       -74.9
g 22 17       -28.0
g 22 18       142.1
g 22 19       147.2
g 22 20      -307.5
g 22 21       228.2
g 22 22      -365.4
h 22  1       -52.5
h 22  2       180.6
h 22  3       182.5
h 22  4       -69.5
h 22  5       -24.5
h 22  6        93.2
h 22  7       188.1
h 22  8        54.5
h 22  9       -68.5
h 22 10        93.8
h 22 11       -87.3
h 22 12      -175.3
h 22 13       202.4
h 22 14       -49.8
h 22 15      -129.2
h 22 16      -241.1
h 22 17       -63.6
h 22 18        68.4
h 22 19       168.1
h 22 20      -160.0
h 22 21        62.6
h 22 22      -117.5
g 23  0       -53.7
g 23  1      -120.7
g 23  2        23.0
g 23  3        53.9
g 23  4       -25.8
g 23  5      -185.5
g 23  6        65.2
g 23  7       -45.7
