Date ut utc Year Doy x y z r t p
20181029 8.158335 603320.158334732 2018 302.339930631 10.643099367761428 7.970536577519163 3.079265064622615 13.648695572244987 1.3432284818377633 0.6427918888276833
20181029 8.175002 603320.1750020981 2018 302.340625075 10.716755678957087 7.8498398981704245 3.080094779835506 13.636561977351079 1.3429599627889572 0.6321955601430931
20181029 8.1916685 603320.1916685104 2018 302.341319518 10.78904569742069 7.728473339674369 3.080922984389862 13.624422690845698 1.3426909655512749 0.6215991454266805
20181029 8.208335 603320.2083349228 2018 302.342013962 10.859963436468417 7.606452330330666 3.081749664298103 13.612277689219582 1.34242148909712 0.6110026445587153
20181029 8.225001 603320.2250013351 2018 302.342708406 10.929503105242544 7.483792368376881 3.0825748195602305 13.600126979505347 1.3421515318586013 0.6004060575608645
20181029 8.241669 603320.2416687012 2018 302.343402849 10.997659052761147 7.36050895205058 3.0833984361886646 13.58797051035535 1.3418810923171451 0.5898093828103105
20181029 8.258335 603320.2583351135 2018 302.344097293 11.064425851843563 7.236617705477536 3.0842205281709845 13.575808318938744 1.341610168348178 0.5792126214409565
20181029 8.275002 603320.2750015259 2018 302.344791736 11.129798215184916 7.112134238795949 3.0850410815196105 13.563640374768518 1.3413387587737355 0.5686157723317207
20181029 8.291668 603320.2916679382 2018 302.34548618 11.19377103731886 6.987074232081912 3.0858600822469646 13.55146666629656 1.3410668627345435 0.5580188356980007
20181029 8.308334 603320.3083343506 2018 302.346180624 11.256339408605157 6.861453393386673 3.0866775303530467 13.539287194225603 1.3407944785167292 0.5474218100459834
20181029 8.325002 603320.3250017166 2018 302.346875067 11.317498545291782 6.7352874867118 3.087493439825435 13.527101928805862 1.340521602808851 0.5368246968854007
20181029 8.341668 603320.341668129 2018 302.347569511 11.377243915403122 6.608592318021597 3.088307782688972 13.514910894897113 1.3402482364208255 0.5262274950190171
20181029 8.358335 603320.3583345413 2018 302.348263954 11.435571098864209 6.481383693280367 3.0891205589436583 13.502714051789269 1.3399743768970418 0.5156302034091041
20181029 8.375001 603320.3750009537 2018 302.348958398 11.492475871426173 6.353677488390309 3.0899317685894925 13.490511391949868 1.3397000223465514 0.5050328225891787
20181029 8.391668 603320.3916683197 2018 302.349652841 11.547954204666256 6.225489621216361 3.0907414116264755 13.478302927686576 1.339425171216036 0.4944353530723035
20181029 8.408335 603320.408334732 2018 302.350347284 11.602002238012645 6.0968359956358755 3.0915494740670284 13.466088639212792 1.3391498224509837 0.48383779278975664
20181029 8.425001 603320.4250011444 2018 302.351041728 11.654616264756896 5.967732571476529 3.092355941923572 13.45386849924392 1.3388739748583183 0.47324014234272266
20181029 8.4416685 603320.4416685104 2018 302.351736172 11.705792801991832 5.838195336541151 3.093160843171264 13.44164253030494 1.3385976249051543 0.46264240082279445
20181029 8.458335 603320.4583349228 2018 302.352430615 11.755528492698485 5.708240306607732 3.0939641358473677 13.429410694983485 1.3383207733405447 0.4520445693876375
20181029 8.475001 603320.4750013351 2018 302.353125059 11.803820203659152 5.577883497454261 3.094765847927041 13.417173001976987 1.3380434163697752 0.4414466460868199
20181029 8.491668 603320.4916677475 2018 302.353819502 11.85066494153192 5.447140966821462 3.0955659514351255 13.404929422737101 1.337765553813098 0.4308486317267068
20181029 8.508334 603320.5083341599 2018 302.354513946 11.896059922788565 5.316028786437644 3.0963644463716222 13.392679960693611 1.3374871839068398 0.42025052577105476
20181029 8.525002 603320.5250015259 2018 302.35520839 11.940002531751803 5.184563028031109 3.097161346724109 13.380424606771957 1.3372083035825153 0.4096523268827927
20181029 8.541668 603320.5416679382 2018 302.355902833 11.982490334582891 5.0527598052929 3.0979566105298497 13.368163352872434 1.3369289140773808 0.3990540355511465
20181029 8.558334 603320.5583343506 2018 302.356597277 12.02352105130644 4.92063523191406 3.0987502657640014 13.355896179827678 1.3366490110505804 0.38845565212521055
20181029 8.575001 603320.5750007629 2018 302.35729172 12.063092611760757 4.788205421585632 3.0995422984389864 13.343623082919848 1.3363685936330698 0.3778571752510785
20181029 8.591668 603320.591668129 2018 302.357986164 12.101203113635092 4.6554865159738155 3.100332694567224 13.331344055078173 1.3360876609084802 0.36725860528363763
20181029 8.608335 603320.6083345413 2018 302.358680608 12.137850822469648 4.5224946427572315 3.101121454148716 13.319059075463118 1.3358062106275574 0.35665994138953394
20181029 8.625001 603320.6250009537 2018 302.359375051 12.173034213618308 4.389245943602082 3.101908577183461 13.306768155361901 1.3355242411078059 0.34606118254627033
20181029 8.641667 603320.641667366 2018 302.360069495 12.20675188832317 4.255756574162144 3.1026940636714597 13.294471261932447 1.3352417498630167 0.3354623299551354
20181029 8.658335 603320.658334732 2018 302.360763938 12.239002671627594 4.12204267610362 3.103477885637554 13.28216839248653 1.334958737104728 0.3248633825336809
20181029 8.675001 603320.6750011444 2018 302.361458382 12.269785542438315 3.988120391092709 3.1042600710569013 13.269859535806548 1.3346751985524332 0.31426433991021807
20181029 8.691668 603320.6916675568 2018 302.362152826 12.299099689475746 3.8540058747831925 3.1050405779667654 13.257544698975973 1.3343911356650742 0.3036652022144435
20181029 8.708334 603320.7083339691 2018 302.362847269 12.326944427348513 3.7197152408661105 3.105819434342304 13.245223846610088 1.3341065437016209 0.2930659680912087
20181029 8.725001 603320.7250013351 2018 302.363541713 12.353319280478935 3.585264644995244 3.106596612208359 13.23289697424906 1.333821422811781 0.28246663903411007
20181029 8.741668 603320.7416677475 2018 302.364236156 12.378223969115426 3.450670186874056 3.1073721115649304 13.220564088112754 1.3335357711624374 0.2718672126790111
20181029 8.758334 603320.7583341599 2018 302.3649306 12.401658353382198 3.315947980193588 3.1081459324120178 13.208225166862267 1.3332495864071203 0.2612676893363195
20181029 8.775002 603320.7750015259 2018 302.365625043 12.423622475241986 3.1811141246573045 3.1089180747496226 13.195880193338256 1.3329628662634923 0.2506680691013372
20181029 8.791668 603320.7916679382 2018 302.366319487 12.444116572483635 3.046184705981089 3.109688524590164 13.183529165306332 1.33267560980374 0.2400683517541279
20181029 8.808334 603320.8083343506 2018 302.367013931 12.463141050746938 2.911175781905668 3.110457281933643 13.171172073384417 1.3323878148699435 0.22946853641110346
20181029 8.825001 603320.8250007629 2018 302.367708374 12.48069649751021 2.7761033961841886 3.1112243327924802 13.158808911836552 1.332099480454681 0.2188686224499288
20181029 8.841667 603320.8416671753 2018 302.368402818 12.496783654115147 2.640983578582219 3.111989677166676 13.146439659120352 1.3318106041565079 0.2082686101347865
20181029 8.858335 603320.8583345413 2018 302.369097261 12.511403457729537 2.5058323308901693 3.11275331505623 13.134064312048066 1.3315211839018617 0.19766849896005165
20181029 8.875001 603320.8750009537 2018 302.369791705 12.524556999384545 2.370665626923292 3.1135152324735635 13.121682843612437 1.3312312182610053 0.18706828848018592
